Jurisdiction	Bill Number	Bill Title	Bill Status	Bill Summary	Category
Illinois	H 3028	Computer-Generated Image or Video	Pending	Amends the Criminal Code of 2012 and the Removal of Private Compromising Images Act; defines image to include a computer-generated image or video, whether made, produced, or altered by electronic, mechanical, or other means.	
Illinois	H 3506	Large Developer	Pending	Changes references from developer to large developer; provides that a large developer that has one or more employees in the State shall not make, adopt, or enforce any rule, regulation, or policy preventing an employee from disclosing information to a government or law enforcement agency or any supervisor, principal officer, or board member related to an activity, policy, or practice of the large developer, where the employee has a good faith belief that the activity, policy.	Responsible Use; Private Sector Use; Cybersecurity; Notification; Audit; Criminal Use
Illinois	S 1554	Artificial Intelligence	Pending	Amends the Criminal Code of 2012; provides that certain forms of false impersonation may be accomplished by AI; defines AI.	Criminal Use
Illinois	S 2255	Surveillance Based Price and Wage Discrimination Act	Pending	Creates the Surveillance-Based Price and Wage Discrimination Act; provides that a person shall not use surveillance data as part of an automated decision system to inform the individualized price assessed to a consumer for goods or services; provides that a person shall not use surveillance data as part of an automated decision system to inform the individualized wage paid to an employee; sets forth exemptions to the provisions; provides that the attorney general shall enforce the act.	Private Sector Use; Effect on Labor/Employment; Responsible Use
Indiana	H 1050	Technical Corrections	Enacted	Addresses technical issues in the Indiana Code, including those related to spelling, tabulation, formatting, grammar, and cross-references; resolves technical conflicts from the 2024 legislative session; makes conforming amendments.	Studies; Judicial Use
Iowa	HSB 294	Artificial Intelligence	Pending - Carryover	Relates to AI; includes the use of AI to create materials related to elections and protections in interactions with AI systems and makes penalties applicable.	Elections; Criminal Use; Effect on Labor/Employment; Health Use; Government Use; Private Sector Use; Responsible Use; Oversight/Governance; Impact Assessment
Kansas	H 2183	Concerning Crimes Punishment and Criminal Procedure	Failed - Adjourned	Concerns crimes, punishment and criminal procedure; modifies elements in the crimes of sexual exploitation of a child, unlawful transmission of a visual depiction of a child and breach of privacy; prohibits certain acts related to visual depictions in which the person depicted is indistinguishable from a real child, morphed from a real child's image or generated without any actual child involvement; provides an exception for cable services in the crime of breach of privacy; prohibits dissemination.	Criminal Use; Child Pornography
Kansas	S 186	Sworn Testimony in Support of Probable Cause	Enacted	Concerns crimes, punishment and criminal procedure; modifies elements in the crimes of sexual exploitation of a child, unlawful transmission of a visual depiction of a child and breach of privacy; prohibits certain acts related to visual depictions in which the person depicted is indistinguishable from a real child, morphed from a real child's image or generated without any actual child involvement; provides an exception for cable services in the crime of breach of privacy.	Criminal Use; Child Pornography
Kentucky	H 22	Geoengineering	Failed - Adjourned	Makes findings and declarations regarding the dangers of atmospheric polluting activities and the commonwealth's authority to prohibit geoengineering; defines terms; makes criminal atmospheric pollution a Class D felony; requires that a person found guilty of criminal atmospheric pollution pay a civil penalty of not less than specified amount in addition to all other penalties authorized by law; provides that each day that a person engages in criminal atmospheric pollution constitutes a separate offense.	Criminal Use; Government Use; Private Sector Use
Kentucky	H 498	Use of AI by Courts	Failed - Adjourned	Requests that the Supreme Court establish a pilot project to permit participating courts to use AI for court transcription services; establishes guidelines.	Government Use; Judicial Use
